"FORM 20 FINAL RESULT SHEET
ELECTION TO THE LEGISLATIVE ASSEMBLY
Total No. of Electors in Assembly Constituency/segment       240796 Name of Assembly/segment ...68-DALGAON Assembly Election",,,,,,,,,,,
Serial No. Of Polling Station,,No of Valid Votes Cast in favour of,,,,,Total of Valid Votes,No. Of Rejected Votes,NOTA,Total,No. Of Tendered Votes
,,ILIAS ALI,MAZIBUR RAHMAN,HABIBAR RAHMAN,SAIFUL HOQUE,ARAB ALI,,,,,
1,1,122,487,6,7,2,624,0,7,631,0
2,1(A),124,357,4,5,0,490,0,3,493,0
3,2,230,445,3,10,0,688,0,5,693,0
4,3,272,387,3,10,2,674,0,6,680,0
5,4,258,678,10,2,6,954,0,4,958,0
6,5,202,653,8,6,3,872,0,0,872,0
7,6,223,515,1,3,3,745,0,5,750,0
8,7,198,559,7,3,4,771,0,2,773,0
9,8,175,548,8,4,4,739,0,1,740,0
10,9,168,367,3,1,3,542,0,5,547,0
11,9(A),194,274,3,1,2,474,0,0,474,0
12,10,110,405,7,8,5,535,0,5,540,0
13,10(A),122,348,6,4,4,484,0,6,490,0
14,11,249,629,9,7,2,896,0,9,905,0
15,12,243,605,18,4,3,873,0,7,880,0
16,13,152,644,6,4,3,809,0,2,811,0
17,14,185,512,3,2,0,702,0,2,704,0
18,15,232,561,6,4,1,804,0,12,816,0
19,16,199,656,10,5,3,873,0,9,882,0
20,17,381,493,4,5,5,888,0,3,891,0
21,18,156,364,12,4,1,537,0,2,539,0
22,19,195,306,4,4,2,511,0,0,511,0
23,20,0,0,0,0,0,0,0,0,0,0
24,21,295,500,4,5,3,807,0,4,811,0
25,22,166,701,10,3,0,880,0,3,883,0
26,23,161,635,6,4,2,808,0,5,813,0
27,24,173,360,28,0,2,563,0,0,563,0
28,25,180,329,16,1,2,528,0,5,533,0
29,26,199,443,10,6,2,660,0,5,665,0
30,26(A),193,422,2,2,0,619,0,2,621,0
31,27,241,476,6,4,1,728,0,2,730,0
32,28,183,492,5,4,3,687,0,3,690,0
33,29,188,603,4,7,2,804,0,4,808,0
34,30,226,594,15,15,10,860,0,12,872,0
35,31,196,620,1,1,3,821,0,1,822,0
36,32,89,420,4,8,3,524,0,3,527,0
37,32(A),127,364,3,4,1,499,0,4,503,0
38,33,253,270,2,4,0,529,0,8,537,0
39,33(A),112,395,4,2,1,514,0,1,515,0
40,34,140,419,8,3,1,571,0,8,579,0
41,34(A),141,375,5,5,1,527,0,6,533,0
42,35,285,614,33,9,8,949,0,2,951,0
43,36,262,561,38,6,2,869,0,4,873,0
44,37,301,528,18,8,8,863,0,7,870,0
45,38,155,316,32,4,5,512,0,4,516,0
46,38(A),140,368,4,1,2,515,0,5,520,0
47,39,206,597,7,4,10,824,0,1,825,0
48,40,205,608,8,5,3,829,0,4,833,0
49,41,393,521,13,11,10,948,0,5,953,0
50,42,265,499,4,2,1,771,0,1,772,0
51,43,225,462,6,3,1,697,0,2,699,0
52,44,176,442,12,5,2,637,0,5,642,0
53,44(A),147,254,0,5,4,410,0,2,412,0
54,45,189,403,3,2,0,597,0,1,598,0
55,46,0,0,0,0,0,0,0,0,0,0
56,47,195,335,3,3,1,537,0,2,539,0
57,48,168,372,1,6,0,547,0,1,548,0
